FULL.OID      ,BR  ,PRT  ,SHIP.VIA

S104971948.001,19  ,Q    ,WILL CALL
S105001015.002,21  ,Q    ,WILL CALL
S105014987.001,8   ,Q    ,OT OUR TRUCK
S105065989.002,19  ,Q    ,OT OUR TRUCK
S105090766.002,8   ,Q    ,WILL CALL
S105102152.001,9   ,M    ,OT OUR TRUCK
S105143660.001,6   ,Q    ,WILL CALL
S105151183.002,19  ,Q    ,WILL CALL
S105170441.001,8   ,Q    ,OT OUR TRUCK
S105170454.001,ILSP,Q    ,WILL CALL
S105173453.002,22  ,Q    ,WILL CALL
S105192262.001,19  ,Q    ,OT OUR TRUCK
S105203531.001,5   ,Q    ,WILL CALL
S105235419.001,6   ,Q    ,WILL CALL
S105280188.003,6   ,Q    ,WILL CALL
S105281442.001,8   ,Q    ,WILL CALL
